WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
512,AFG,NGDP_R,Afghanistan,"Gross domestic product, constant prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,453.484,492.903,496.209,554.91,584.658,662.65,688.247,829.924,899.956,958.266,"1,092.12","1,154.18","1,185.31","1,197.01","1,222.92","1,255.29","1,270.22","1,319.90","1,253.91","1,304.06","1,363.06","1,424.40","1,481.50","1,540.94"
512,AFG,NGDP_RPCH,Afghanistan,"Gross domestic product, constant prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.692,0.671,11.83,5.361,13.34,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.647,1.189,3.912,-5,4,4.524,4.5,4.009,4.012
512,AFG,NGDP,Afghanistan,"Gross domestic product, current prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,178.756,220.013,246.21,304.926,345.817,427.495,517.509,607.227,711.759,836.222,"1,033.59","1,116.83","1,183.04","1,226.57","1,222.92","1,285.46","1,327.69","1,469.60","1,465.92","1,597.74","1,741.83","1,893.02","2,047.67","2,215.01"
512,AFG,NGDPD,Afghanistan,"Gross domestic product, current prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.635,20.22,17.994,18.91,18.401,18.876,19.006,19.692,20.829,22.022,23.169,24.372
512,AFG,PPPGDP,Afghanistan,"Gross domestic product, current prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19.677,21.784,22.521,25.969,28.19,32.808,34.739,42.209,46.304,50.334,59.945,63.784,69.444,72.056,70.098,74.712,77.416,81.88,78.884,83.852,89.205,94.908,100.6,106.685
512,AFG,NGDP_D,Afghanistan,"Gross domestic product, deflator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,39.418,44.636,49.618,54.951,59.149,64.513,75.192,73.167,79.088,87.264,94.641,96.764,99.809,102.469,100,102.404,104.525,111.341,116.908,122.52,127.788,132.9,138.216,143.745
512,AFG,NGDPRPC,Afghanistan,"Gross domestic product per capita, constant prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"20,424.64","21,322.87","20,659.30","22,320.62","22,810.34","24,895.95","25,216.05","29,635.56","31,245.05","32,255.52","35,577.40","36,373.06","36,183.70","35,481.24","35,287.31","35,330.36","34,921.94","35,472.64","32,949.85","33,497.40","34,225.66","34,961.70","35,545.66","36,140.57"
512,AFG,NGDPRPPPPC,Afghanistan,"Gross domestic product per capita, constant prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,215.63","1,269.09","1,229.60","1,328.47","1,357.62","1,481.75","1,500.80","1,763.84","1,859.64","1,919.78","2,117.49","2,164.84","2,153.57","2,111.76","2,100.22","2,102.78","2,078.48","2,111.25","1,961.10","1,993.69","2,037.04","2,080.84","2,115.60","2,151.01"
512,AFG,NGDPPC,Afghanistan,"Gross domestic product per capita, current prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"8,051.07","9,517.72","10,250.79","12,265.32","13,491.99","16,061.11","18,960.53","21,683.33","24,711.15","28,147.49","33,670.81","35,195.98","36,114.49","36,357.36","35,287.31","36,179.58","36,502.09","39,495.72","38,521.15","41,041.03","43,736.42","46,464.07","49,129.77","51,950.10"
512,AFG,NGDPDPC,Afghanistan,"Gross domestic product per capita, current prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,196.683,196.954,214.23,248.049,270.189,321.441,377.256,430.867,532.072,602.183,661.087,635.635,629.921,599.349,519.219,532.22,505.909,507.29,499.441,505.827,523.013,540.522,555.893,571.606
512,AFG,PPPPC,Afghanistan,"Gross domestic product per capita, current prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,886.227,942.382,937.636,"1,044.59","1,099.81","1,232.62","1,272.75","1,507.23","1,607.60","1,694.26","1,952.81","2,010.12","2,119.91","2,135.84","2,022.68","2,102.78","2,128.38","2,200.54","2,072.89","2,153.90","2,239.88","2,329.51","2,413.71","2,502.14"
512,AFG,NGAP_NPGDP,Afghanistan,Output gap in percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,AFG,PPPSH,Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.036,0.037,0.036,0.038,0.038,0.041,0.041,0.05,0.052,0.053,0.06,0.061,0.064,0.065,0.061,0.061,0.06,0.061,0.061,0.06,0.06,0.061,0.061,0.061
512,AFG,PPPEX,Afghanistan,Implied PPP conversion rate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.085,10.1,10.933,11.742,12.268,13.03,14.897,14.386,15.371,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.15,17.948,18.583,19.054,19.526,19.946,20.354,20.762
512,AFG,NID_NGDP,Afghanistan,Total investment,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27.243,30.102,35.354,37.048,29.489,55.852,30.222,36.503,30.269,26.407,25.34,23.093,17.45,18.427,19.298,18.477,18.039,18.192,17.046,18.102,18.936,19.775,20.561,21.356
512,AFG,NGSD_NGDP,Afghanistan,Gross national savings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,61.151,59.718,72.57,67.274,50.333,119.243,63.99,78.09,59.699,52.981,36.204,24.538,24.007,22.223,28.316,26.063,30.197,29.897,26.526,25.877,26.86,27.434,27.926,28.369
