predictors,coefficients,coef_abs
Inequality in education (%),-0.015402541927077717,0.015402541927077717
"School enrollment, primary (% gross)",0.009805394590667212,0.009805394590667212
"Population ages 15-64, female (% of female population)",0.009450879750820054,0.009450879750820054
"Domestic general government health expenditure per capita, PPP (current international $)",0.009263433318562763,0.009263433318562763
"Adolescent fertility rate (births per 1,000 women ages 15-19)",-0.00895753932497636,0.00895753932497636
Forest area (sq. km),-0.007783057560397716,0.007783057560397716
"Secondary education, general pupils (% female)",0.007342947579522852,0.007342947579522852
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.0072606888677811746,0.0072606888677811746
"Out-of-pocket expenditure per capita, PPP (current international $)",0.007221739134369725,0.007221739134369725
Agricultural land (% of land area),-0.006960033905182521,0.006960033905182521
"Pupil-teacher ratio, primary",-0.0066714023970510525,0.0066714023970510525
"Tuberculosis incidence (per 100,000 people)",-0.005684176392755027,0.005684176392755027
Mobile cellular subscriptions (per 100 people),0.005407229505844064,0.005407229505844064
"Unemployment, youth (% ages 15–24)",0.005312689653945258,0.005312689653945258
"Prevalence of wasting in
 children under five years (%)",-0.004908703394657904,0.004908703394657904
Inequality in income (%),0.0047184526304373045,0.0047184526304373045
Food exports (% of merchandise exports),-0.004674824650931885,0.004674824650931885
"Employment in services, male (% of male employment) (modeled ILO estimate)",0.004274891003089132,0.004274891003089132
"School enrollment, preprimary (% gross)",0.004271175753681795,0.004271175753681795
"School enrollment, preprimary, female (% gross)",0.004141928150999232,0.004141928150999232
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",-0.004122664057827308,0.004122664057827308
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",-0.003778144334886647,0.003778144334886647
Total fisheries production (metric tons),0.0037692018134670596,0.0037692018134670596
Exports and imports (% of GDP),-0.003589549347023876,0.003589549347023876
"Tariff rate, applied, weighted mean, manufactured products (%)",-0.0035767955802561116,0.0035767955802561116
Permanent cropland (% of land area),0.003366412610185747,0.003366412610185747
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",0.0031379516170536043,0.0031379516170536043
"Immunization, DPT (% of children ages 12-23 months)",0.003057166403069124,0.003057166403069124
Rural population with access to electricity (%),0.002967253359889373,0.002967253359889373
International inbound tourists (thousands),0.002940224540634384,0.002940224540634384
Import value index (2000 = 100),0.0029266227620297703,0.0029266227620297703
"Government expenditure on education, total (% of GDP)",-0.0029057943418618628,0.0029057943418618628
Sex ratio at birth (male births per female births),0.002833512293360491,0.002833512293360491
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",-0.0027012790253700125,0.0027012790253700125
"Repeaters, primary, total (% of total enrollment)",-0.002557014358118043,0.002557014358118043
"Industry (including construction), value added (% of GDP)",0.0025099672215987013,0.0025099672215987013
Implied PPP conversion rate,-0.00249378794581404,0.00249378794581404
Rural population (% of total population),-0.0022052107250553517,0.0022052107250553517
